Zeit [ms]	Uin A [V]	Uin B [V]
0.000000000	0.640645261	0.010449897
0.010000000	0.826913089	0.009476372
0.020000000	0.995332955	0.008178338
0.030000000	1.169593975	0.007204813
0.040000000	1.332821713	0.006231288
0.050000000	1.489234779	0.004608745
0.060000000	1.644349817	0.003635220
0.070000000	1.782914932	0.002337186
0.080000000	1.917585952	0.001363661
0.090000000	2.049660912	-0.000258881
0.100000000	2.162265368	-0.001881424
0.110000000	2.274220814	-0.002854949
0.120000000	2.382282165	-0.003828474
0.130000000	2.469250464	-0.005126508
0.140000000	2.560437380	-0.006100033
0.150000000	2.637994939	-0.007398067
0.160000000	2.704194700	-0.008696101
0.170000000	2.771692499	-0.009669626
0.180000000	2.822640359	-0.011292169
0.190000000	2.867422557	-0.011616677
0.200000000	2.912204756	-0.012914711
0.210000000	2.935893890	-0.013563728
0.220000000	2.956662447	-0.014861762
0.230000000	2.974510426	-0.015510779
0.240000000	2.974510426	-0.016159795
0.250000000	2.974834935	-0.016808812
0.260000000	2.964450656	-0.017457829
0.270000000	2.941735047	-0.018106846
0.280000000	2.920966490	-0.018431355
0.290000000	2.880402904	-0.018755863
0.300000000	2.831402093	-0.019404880
0.310000000	2.786295389	-0.019080371
0.320000000	2.716201520	-0.019729388
0.330000000	2.642862568	-0.019729388
0.340000000	2.564655992	-0.019729388
0.350000000	2.469574972	-0.019404880
0.360000000	2.372222399	-0.019404880
0.370000000	2.261240472	-0.019080371
0.380000000	2.135331160	-0.018755863
0.390000000	2.012017925	-0.018431355
0.400000000	1.866962628	-0.018106846
0.410000000	1.711523069	-0.017457829
0.420000000	1.559977620	-0.017133321
0.430000000	1.380524452	-0.016484304
0.440000000	1.202369326	-0.015510779
0.450000000	1.016101494	-0.015186270
0.460000000	0.810363160	-0.013888236
0.470000000	0.607545403	-0.012914711
0.480000000	0.394667882	-0.012265694
0.490000000	0.172704118	-0.011292169
0.500000000	-0.043743014	-0.009994135
0.510000000	-0.283554771	-0.009020610
0.520000000	-0.519472450	-0.007722576
0.530000000	-0.742734323	-0.006749050
0.540000000	-0.986764776	-0.005451017
0.550000000	-1.223980588	-0.004152983
0.560000000	-1.447567077	-0.003828474
0.570000000	-1.680564363	-0.001881424
0.580000000	-1.899283312	-0.000907898
0.590000000	-2.106969005	0.000714644
0.600000000	-2.322442963	0.001688169
0.610000000	-2.507413122	0.002661695
0.620000000	-2.691085287	0.003959728
0.630000000	-2.866644766	0.005582271
0.640000000	-3.006508264	0.006555796
0.650000000	-3.153835506	0.007853830
0.660000000	-3.281367705	0.008827355
0.670000000	-3.380667602	0.010125389
0.680000000	-3.473152815	0.010774406
0.690000000	-3.544220409	0.012072440
0.700000000	-3.590625281	0.013045965
0.710000000	-3.631838002	0.013694982
0.720000000	-3.641573291	0.014993016
0.730000000	-3.642871329	0.015642033
0.740000000	-3.633136040	0.016291050
0.750000000	-3.587380184	0.016615558
0.760000000	-3.548763543	0.017589083
0.770000000	-3.485484177	0.018238100
0.780000000	-3.394621510	0.018562609
0.790000000	-3.300838272	0.019211626
0.800000000	-3.191154086	0.019536134
0.810000000	-3.059078774	0.019536134
0.820000000	-2.924731923	0.020185151
0.830000000	-2.768318473	0.019860642
0.840000000	-2.606712909	0.019860642
0.850000000	-2.437643671	0.019860642
0.860000000	-2.243587277	0.019860642
0.870000000	-2.058617176	0.019536134
0.880000000	-1.868779479	0.019860642
0.890000000	-1.662391871	0.018887117
0.900000000	-1.461520952	0.018238100
0.910000000	-1.254808911	0.017913592
0.920000000	-1.041606732	0.017264575
0.930000000	-0.833272213	0.016940066
0.940000000	-0.619096568	0.015966541
0.950000000	-0.410113083	0.015317524
0.960000000	-0.204374703	0.014668507
0.970000000	0.004284237	0.013694982
0.980000000	0.202558894	0.013045965
0.990000000	0.399535508	0.011423423
1.000000000	0.590670966	0.010125389
1.010000000	0.778561336	0.009476372
1.020000000	0.962233097	0.008502847
1.030000000	1.131301982	0.006880305
1.040000000	1.297450294	0.005906779
1.050000000	1.461002544	0.004608745
1.060000000	1.610276430	0.002986203
1.070000000	1.755007203	0.002337186
1.080000000	1.890651747	0.000714644
1.090000000	2.021428671	-0.000258881
1.100000000	2.143768382	-0.001556915
1.110000000	2.251505216	-0.002854949
1.120000000	2.356321479	-0.003828474
1.130000000	2.456594629	-0.005126508
1.140000000	2.539019812	-0.006749050
1.150000000	2.621120491	-0.007722576
1.160000000	2.689591811	-0.008696101
1.170000000	2.752870997	-0.009994135
1.180000000	2.810633539	-0.010643152
1.190000000	2.855091227	-0.011616677
1.200000000	2.892409725	-0.012914711
1.210000000	2.928105682	-0.013888236
1.220000000	2.944980134	-0.014537253
1.230000000	2.960556552	-0.015835287
1.240000000	2.967695743	-0.015835287
1.250000000	2.961854587	-0.016808812
1.260000000	2.956662447	-0.017457829
1.270000000	2.934271347	-0.017782338
1.280000000	2.905390073	-0.018431355
1.290000000	2.877482326	-0.019080371
1.300000000	2.826209955	-0.019080371
1.310000000	2.772017008	-0.019404880
1.320000000	2.711658399	-0.019080371
1.330000000	2.635074361	-0.019729388
1.340000000	2.558165819	-0.019729388
1.350000000	2.465356361	-0.019729388
1.360000000	2.362811650	-0.019729388
1.370000000	2.257995387	-0.019404880
1.380000000	2.133059601	-0.018755863
1.390000000	2.003580704	-0.018755863
1.400000000	1.863717543	-0.018431355
1.410000000	1.709900526	-0.017457829
1.420000000	1.552189417	-0.016808812
1.430000000	1.380524452	-0.015835287
1.440000000	1.199124241	-0.015510779
1.450000000	1.010584851	-0.015186270
1.460000000	0.813608245	-0.014212745
1.470000000	0.608843437	-0.012914711
1.480000000	0.391422798	-0.012265694
1.490000000	0.174326660	-0.011616677
1.500000000	-0.055425318	-0.009994135
1.510000000	-0.283554771	-0.009345118
1.520000000	-0.506816618	-0.007722576
1.530000000	-0.753118597	-0.007398067
1.540000000	-0.980923621	-0.005775525
1.550000000	-1.219437467	-0.004802000
1.560000000	-1.455679795	-0.003503966
1.570000000	-1.672776153	-0.002205932
1.580000000	-1.901230365	-0.001232407
1.590000000	-2.110214095	0.000065627
1.600000000	-2.310760639	0.001363661
1.610000000	-2.513254285	0.002661695
1.620000000	-2.682972558	0.004284237
1.630000000	-2.860803600	0.005582271
1.640000000	-3.019164127	0.006231288
1.650000000	-3.154484525	0.007529321
1.660000000	-3.280394176	0.008827355
1.670000000	-3.377747017	0.009476372
1.680000000	-3.470232229	0.010774406
1.690000000	-3.542922370	0.012072440
1.700000000	-3.593870377	0.012721457
1.710000000	-3.631838002	0.014019490
1.720000000	-3.640924272	0.014993016
1.730000000	-3.648387993	0.015317524
1.740000000	-3.627619377	0.016291050
1.750000000	-3.600360569	0.016940066
1.760000000	-3.550710600	0.017589083
1.770000000	-3.471854777	0.018238100
1.780000000	-3.405005815	0.018562609
1.790000000	-3.306354932	0.018887117
1.800000000	-3.192776633	0.018887117
1.810000000	-3.068489545	0.019860642
1.820000000	-2.915645664	0.020185151
1.830000000	-2.773186111	0.019860642
1.840000000	-2.611905055	0.019860642
1.850000000	-2.435047599	0.020185151
1.860000000	-2.261110762	0.019860642
1.870000000	-2.063809318	0.019536134
1.880000000	-1.872349077	0.018887117
1.890000000	-1.673425170	0.019211626
1.900000000	-1.457626847	0.018562609
1.910000000	-1.258053998	0.017913592
1.920000000	-1.046798870	0.016940066
1.930000000	-0.835219265	0.016615558
1.940000000	-0.629156332	0.015966541
1.950000000	-0.410437591	0.014993016
1.960000000	-0.206970771	0.014343999
1.970000000	-0.005126508	0.013370473
1.980000000	0.197691267	0.012396948
1.990000000	0.394992391	0.011423423
2.000000000	0.590021949	0.010449897
2.010000000	0.772720185	0.009476372
2.020000000	0.954120387	0.008178338
2.030000000	1.130003948	0.007204813
2.040000000	1.295178735	0.005582271
2.050000000	1.457108443	0.004933254
2.060000000	1.607355854	0.003635220
2.070000000	1.752086627	0.002337186
2.080000000	1.891300764	0.000714644
2.090000000	2.017210061	-0.000258881
2.100000000	2.138900754	-0.001881424
2.110000000	2.255399318	-0.002530441
2.120000000	2.354698936	-0.004152983
2.130000000	2.451727000	-0.005126508
2.140000000	2.539019812	-0.006424542
2.150000000	2.616901879	-0.007722576
2.160000000	2.691214355	-0.008696101
2.170000000	2.752546489	-0.009669626
2.180000000	2.807063943	-0.010967660
2.190000000	2.860932383	-0.011941186
2.200000000	2.893383251	-0.013239219
2.210000000	2.924211577	-0.013563728
2.220000000	2.946602677	-0.014861762
2.230000000	2.959258517	-0.015186270
2.240000000	2.969642796	-0.016484304
2.250000000	2.965424182	-0.016808812
2.260000000	2.955039904	-0.017133321
2.270000000	2.942384064	-0.018106846
2.280000000	2.908959669	-0.018755863
2.290000000	2.872939204	-0.019080371
2.300000000	2.828157007	-0.019404880
2.310000000	2.773964060	-0.019404880
2.320000000	2.715877011	-0.019729388
2.330000000	2.642538060	-0.020053897
2.340000000	2.558814837	-0.019729388
2.350000000	2.475091618	-0.019729388
2.360000000	2.368003788	-0.019729388
2.370000000	2.256048336	-0.019080371
2.380000000	2.137602720	-0.018755863
2.390000000	2.006176772	-0.019080371
2.400000000	1.869234187	-0.018431355
2.410000000	1.718986763	-0.017457829
2.420000000	1.554460976	-0.017133321
2.430000000	1.390259705	-0.016484304
2.440000000	1.204640885	-0.016159795
2.450000000	1.014478952	-0.014861762
2.460000000	0.817502345	-0.014537253
2.470000000	0.611114996	-0.013563728
2.480000000	0.402780593	-0.012265694
2.490000000	0.181790354	-0.010967660
2.500000000	-0.046663590	-0.009994135
2.510000000	-0.271547958	-0.009020610
2.520000000	-0.508114652	-0.008371593
2.530000000	-0.743707849	-0.007073559
2.540000000	-0.979301078	-0.005775525
2.550000000	-1.212298276	-0.004477491
2.560000000	-1.436858289	-0.003179457
2.570000000	-1.669531065	-0.002205932
2.580000000	-1.893117643	-0.000907898
2.590000000	-2.100803336	0.000714644
2.600000000	-2.310111621	0.001688169
2.610000000	-2.503843522	0.002986203
2.620000000	-2.688813723	0.003959728
2.630000000	-2.857883017	0.005582271
2.640000000	-3.004236699	0.006555796
2.650000000	-3.151888450	0.007853830
2.660000000	-3.273903988	0.008827355
2.670000000	-3.376124469	0.010125389
2.680000000	-3.472179286	0.010774406
2.690000000	-3.535783160	0.011747931
2.700000000	-3.592247829	0.013045965
2.710000000	-3.629566435	0.014019490
2.720000000	-3.638328195	0.014668507
2.730000000	-3.648712503	0.015317524
2.740000000	-3.632811531	0.016291050
2.750000000	-3.595817434	0.016940066
2.760000000	-3.556876282	0.017589083
2.770000000	-3.481590063	0.017913592
2.780000000	-3.401111700	0.018887117
2.790000000	-3.307652970	0.018887117
2.800000000	-3.186935464	0.019211626
2.810000000	-3.072059148	0.019860642
2.820000000	-2.930248581	0.019536134
2.830000000	-2.770590037	0.019536134
2.840000000	-2.618395238	0.020185151
2.850000000	-2.440564253	0.019211626
2.860000000	-2.254296073	0.019860642
2.870000000	-2.073544586	0.019536134
2.880000000	-1.870726532	0.019211626
2.890000000	-1.678941820	0.018562609
2.900000000	-1.473203266	0.018238100
2.910000000	-1.254808911	0.017589083
2.920000000	-1.053938060	0.017264575
2.930000000	-0.840411402	0.016615558
2.940000000	-0.629156332	0.015966541
2.950000000	-0.425364982	0.015317524
2.960000000	-0.211189381	0.014343999
2.970000000	-0.008371593	0.013370473
2.980000000	0.189578557	0.012396948
2.990000000	0.397912966	0.011747931
3.000000000	0.584180797	0.010774406
3.010000000	0.769475101	0.009800881
3.020000000	0.949252761	0.008502847
3.030000000	1.121242221	0.007204813
3.040000000	1.294529718	0.006231288
3.050000000	1.450618274	0.004608745
3.060000000	1.601839210	0.003635220
3.070000000	1.756954254	0.002337186
3.080000000	1.888055679	0.001039152
3.090000000	2.014938501	-0.000583390
3.100000000	2.138251737	-0.001232407
3.110000000	2.247611113	-0.002854949
3.120000000	2.352751885	-0.004152983
3.130000000	2.450104457	-0.005451017
