Zeit [ms]	Uin A [V]	Uin B [V]
0.000000000	0.978783026	1.632667513
0.020000000	0.984948686	1.639482191
0.040000000	0.991114346	1.646296868
0.060000000	0.998253531	1.652787037
0.080000000	1.004094682	1.659277206
0.100000000	1.010584851	1.665767376
0.120000000	1.016101494	1.672582053
0.140000000	1.022591662	1.679072223
0.160000000	1.028757322	1.685237883
0.180000000	1.034598473	1.691403544
0.200000000	1.040764133	1.697569205
0.220000000	1.046605285	1.703410357
0.240000000	1.052446436	1.709900526
0.260000000	1.058287588	1.715417170
0.280000000	1.063804231	1.721907340
0.300000000	1.069320874	1.727423984
0.320000000	1.074837517	1.733589644
0.340000000	1.080029652	1.739106288
0.360000000	1.085546295	1.744622932
0.380000000	1.091387446	1.749815068
0.400000000	1.096579581	1.755656220
0.420000000	1.101771716	1.761172864
0.440000000	1.106639342	1.766365000
0.460000000	1.112155985	1.771881644
0.480000000	1.117348120	1.777398288
0.500000000	1.121891237	1.782265915
0.520000000	1.127407881	1.787458051
0.540000000	1.132275507	1.792650186
0.560000000	1.136494116	1.797517813
0.580000000	1.141361743	1.802385440
0.600000000	1.146229369	1.807253068
0.620000000	1.150772487	1.811796186
0.640000000	1.154991096	1.817312830
0.660000000	1.159534214	1.821531441
0.680000000	1.164401840	1.826399068
0.700000000	1.168620450	1.830293169
0.720000000	1.172839059	1.834836288
0.740000000	1.177057669	1.839379407
0.760000000	1.181276278	1.843273509
0.780000000	1.185170379	1.847816627
0.800000000	1.189388989	1.852035238
0.820000000	1.193607598	1.855929339
0.840000000	1.197501699	1.859823441
0.860000000	1.201071292	1.864042051
0.880000000	1.204965393	1.867611645
0.900000000	1.208210477	1.871830255
0.920000000	1.211780070	1.875399848
0.940000000	1.215349662	1.878969442
0.960000000	1.219243764	1.882539035
0.980000000	1.222813356	1.886108628
1.000000000	1.226382949	1.889678222
1.020000000	1.228654508	1.892598798
1.040000000	1.232224100	1.895843883
1.060000000	1.235793693	1.899088968
1.080000000	1.238065252	1.902658561
1.100000000	1.241310336	1.905579138
1.120000000	1.244230912	1.908499714
1.140000000	1.247475996	1.911744799
1.160000000	1.249747555	1.914665375
1.180000000	1.252668131	1.917261443
1.200000000	1.255264199	1.919857511
1.220000000	1.257860266	1.922453579
1.240000000	1.260131825	1.925049647
1.260000000	1.262727892	1.927321207
1.280000000	1.264674943	1.929917275
1.300000000	1.267271010	1.932837851
1.320000000	1.269867078	1.934460394
1.340000000	1.271489620	1.936731953
1.360000000	1.273761179	1.938679004
1.380000000	1.275708229	1.940626055
1.400000000	1.277979788	1.942897614
1.420000000	1.279926839	1.944520157
1.440000000	1.281224873	1.946791716
1.460000000	1.283171923	1.948414259
1.480000000	1.284469957	1.949712293
1.500000000	1.286417007	1.951010327
1.520000000	1.288039550	1.952957378
1.540000000	1.289013075	1.954579920
1.560000000	1.290311109	1.955553446
1.580000000	1.291609142	1.956851480
1.600000000	1.292907176	1.958149514
1.620000000	1.294205210	1.959123039
1.640000000	1.294529718	1.960421073
1.660000000	1.295827752	1.961070090
1.680000000	1.297125786	1.962368124
1.700000000	1.297774802	1.962692633
1.720000000	1.298748328	1.963990667
1.740000000	1.299397345	1.964639684
1.760000000	1.300046361	1.965288701
1.780000000	1.300370870	1.965613209
1.800000000	1.300695378	1.965937718
1.820000000	1.301344395	1.966262226
1.840000000	1.301668904	1.966586735
1.860000000	1.301668904	1.966911243
1.880000000	1.301993412	1.967560260
1.900000000	1.302317920	1.967235752
1.920000000	1.302317920	1.967884769
1.940000000	1.301993412	1.967235752
1.960000000	1.301668904	1.966911243
1.980000000	1.301668904	1.966911243
2.000000000	1.301344395	1.966911243
2.020000000	1.301019887	1.966262226
2.040000000	1.300370870	1.965613209
2.060000000	1.300370870	1.965288701
2.080000000	1.300046361	1.964315175
2.100000000	1.299397345	1.963990667
2.120000000	1.298748328	1.963341650
2.140000000	1.298099311	1.962043616
2.160000000	1.296801277	1.961719107
2.180000000	1.296152260	1.960745582
2.200000000	1.295503243	1.960096565
2.220000000	1.294205210	1.958474022
2.240000000	1.293231684	1.957175988
2.260000000	1.291933651	1.955553446
2.280000000	1.290311109	1.954255412
2.300000000	1.289013075	1.952957378
2.320000000	1.288039550	1.951334835
2.340000000	1.286417007	1.949387784
2.360000000	1.284794465	1.948414259
2.380000000	1.283171923	1.946467208
2.400000000	1.281549381	1.945169174
2.420000000	1.279602330	1.942897614
2.440000000	1.277655280	1.940950563
2.460000000	1.276357246	1.939328021
2.480000000	1.273761179	1.937056461
2.500000000	1.271489620	1.935109410
2.520000000	1.269867078	1.932837851
2.540000000	1.267920027	1.930241783
2.560000000	1.265323960	1.927645715
2.580000000	1.263052401	1.925374156
2.600000000	1.260456333	1.922778088
2.620000000	1.257860266	1.920182020
2.640000000	1.255264199	1.917585952
2.660000000	1.253317148	1.914989884
2.680000000	1.250721081	1.911744799
2.700000000	1.248125013	1.909148731
